,screen_name,lang,created_at,fav_count,retweet_count,text,location
44,Bimantara48,in,2020-11-21 17:00:18,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Surabaya, Indonesia ."
45,Annisakhoriz,in,2020-11-21 15:12:02,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
46,updatecpns_com,in,2020-11-21 13:47:58,0,0,"#SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal… https://t.co/7uF0ZeNcBf",
47,GitaaSS,in,2020-11-21 13:26:12,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",West-central-east ind
48,Megayan48826771,in,2020-11-21 12:27:28,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
49,Renol_07,in,2020-11-21 11:39:48,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
50,_zzzaaa666,in,2020-11-21 11:37:47,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Yogyakarta, Indonesia"
51,katrimasinaga,in,2020-11-21 11:36:52,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Jakarta, Indonesia"
52,nmdtrynt,in,2020-11-21 10:36:50,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
53,eliaabeautyy,in,2020-11-21 09:56:18,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","medan,sumatra utara"
54,wattabi_,in,2020-11-21 09:13:50,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kota Surabaya, Jawa Timur"
55,kppn_jayapura,in,2020-11-21 08:40:21,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Jayapura
56,Gbigboss2,in,2020-11-21 07:22:56,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
57,holikkurniawan_,in,2020-11-21 07:11:41,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Banggai
58,RendiSa03267539,in,2020-11-21 06:52:29,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kalimantan Barat, Indonesia"
59,TornadoSinar,in,2020-11-21 06:50:05,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
60,Reginaddicts,in,2020-11-21 06:18:24,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","South Sumatra, Indonesia"
61,UtaryCarlina,in,2020-11-21 06:15:25,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Bandung, Indonesia"
62,thoyibfaisal,in,2020-11-21 06:03:23,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Banyuwangi, Indonesia"
63,KontanNews,in,2020-11-21 05:56:03,2,1,"Pemberkasan kelar Sabtu (21/11), kapan CPNS 2019 mulai bekerja? https://t.co/BK6Y8JhO5O #CPNS2019","Jakarta, Indonesia"
64,liau93,in,2020-11-21 05:55:52,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Indonesia
65,Rurur_ID,in,2020-11-21 05:54:43,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kota Yogyakarta, Yogyakarta"
66,medlistel_,in,2020-11-21 05:49:51,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Bengkulu, Indonesia"
67,riceinabowl131,in,2020-11-21 05:34:25,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Outer Space 🛸
68,agatachristy3,in,2020-11-21 05:34:01,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Tegal, Jawa Tengah"
69,LuckyEkki,in,2020-11-21 05:23:53,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kota Palopo, Sulawesi Selatan"
70,tribunjambiku,in,2020-11-21 05:15:40,0,0,"Kapan CPNS 2019 Mulai Bekerja? Bocoran Pembukaan Pendaftaran CPNS 2021 Sekitar Bulan Maret
 
#CPNS #pembukaancpns… https://t.co/2rnr75QdlP",Jambi
71,andieeeeer,in,2020-11-21 05:15:02,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","ÜT: -5.1371669,119.4782981"
72,stqmhh,in,2020-11-21 05:08:24,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Banjarmasin
73,lintangtingtung,in,2020-11-21 05:07:48,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Surabaya, Indonesia"
74,melukisenjaaa,in,2020-11-21 05:03:03,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Deep Sea
75,erikphitoyo1,in,2020-11-21 05:02:48,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Madiun
76,SUPRIYA28039536,in,2020-11-21 04:55:39,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
77,martinyepe2,in,2020-11-21 04:45:41,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
78,Putrii96,in,2020-11-21 04:45:09,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
79,mayowiinatasya,in,2020-11-21 04:44:44,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
80,APENG_23,in,2020-11-21 04:43:00,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Mataram - Lombok - NTB
81,rizkadwisvra,in,2020-11-21 04:34:28,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Medan,Indonesia"
82,hacloudies,in,2020-11-21 04:34:03,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Sapphire Blue Ocean 
83,faridk1810,in,2020-11-21 04:27:44,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Purwokerto Selatan, Indonesia"
84,Beny_Hartanto89,in,2020-11-21 04:22:21,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Bondowoso
85,yonikaps,in,2020-11-21 04:21:38,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
86,putribayu_,in,2020-11-21 04:20:23,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Jawa Barat, Indonesia"
87,candycoco__,in,2020-11-21 04:19:03,0,784,RT @adlcerdikiawan: #CPNS2019 ayo tetap semangat dan yang mau mulai belajar gue ada banyak soal soal yang mau rep aja🙏🏻 https://t.co/A73k7L…,
88,UlfatulGold,in,2020-11-21 04:17:56,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Indonesia
89,BKNgoid,in,2020-11-21 04:16:33,551,69,"#SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal… https://t.co/ZNlifAQGKj","Jakarta, Indonesia"
90,katrimasinaga,in,2020-11-21 03:07:51,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Jakarta, Indonesia"
91,jejejejelo,in,2020-11-20 22:22:10,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",(+62) 
92,imam_15,in,2020-11-20 14:35:54,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Sambas Kalimantan Barat
93,ayudyaane,in,2020-11-20 11:03:19,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Indonesia
