,screen_name,lang,created_at,fav_count,retweet_count,text,location
40,kppn_jayapura,in,2020-11-21 08:40:21,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Jayapura
41,Gbigboss2,in,2020-11-21 07:22:56,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
42,holikkurniawan_,in,2020-11-21 07:11:41,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Banggai
43,RendiSa03267539,in,2020-11-21 06:52:29,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kalimantan Barat, Indonesia"
44,TornadoSinar,in,2020-11-21 06:50:05,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
45,Reginaddicts,in,2020-11-21 06:18:24,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","South Sumatra, Indonesia"
46,UtaryCarlina,in,2020-11-21 06:15:25,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Bandung, Indonesia"
47,thoyibfaisal,in,2020-11-21 06:03:23,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Banyuwangi, Indonesia"
48,liau93,in,2020-11-21 05:55:52,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Indonesia
49,Rurur_ID,in,2020-11-21 05:54:43,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kota Yogyakarta, Yogyakarta"
50,medlistel_,in,2020-11-21 05:49:51,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Bengkulu, Indonesia"
51,riceinabowl131,in,2020-11-21 05:34:25,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Outer Space 🛸
52,agatachristy3,in,2020-11-21 05:34:01,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Tegal, Jawa Tengah"
53,LuckyEkki,in,2020-11-21 05:23:53,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kota Palopo, Sulawesi Selatan"
54,andieeeeer,in,2020-11-21 05:15:02,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","ÜT: -5.1371669,119.4782981"
55,stqmhh,in,2020-11-21 05:08:24,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Banjarmasin
